movieId,title,cast_and_crew,year,poster_path,genre
115309,The Cockeyed Cowboys of Calico County,"Anton Leader (director); Ranald MacDougall (director/screenplay); Dan Blocker, Nanette Fabray, Jack Elam, Jim Backus, Wally Cox, Mickey Rooney, Don ""Red"" Barry, Hamilton Camp, Noah Beery Jr., Henry Jones, Marge Champion, Jack Cassidy, Stubby Kaye, Byron Foulger, Iron Eyes Cody, Susan Saint James, James McCallion, Ray Ballard, Raven Grey",1970,/7z7Rl7LkPdsLdNhtucWYuXKkKit.jpg,"Action, Comedy, Western, Romance"
90722,Halls of Anger,"Paul Bogart (director); John Herman Shaner, Al Ramrus (screenplay); Calvin Lockhart, Janet MacLachlan, Jeff Bridges, DeWayne Jessie, Ed Asner, John McLiam, Rob Reiner, Patricia Stich, Ta-Tanisha, Helen Kleeb, Barry Brown, James A. Watson Jr., Gary Tigerman, Paris Earle",1970,/feU0ARKiqcUZLWuitg8Wa5RRxRd.jpg,Drama
144279,Country Dance,"J. Lee Thompson (director); James Kennaway (screenplay); Peter O'Toole, Susannah York, Michael Craig, Harry Andrews, Cyril Cusack, Judy Cornwell, Brian Blessed, Robert Urquhart, Jean Anderson, Helena Gloag, Mark Malicz, Lennox Milne",1970,/6orfrhjC6rVA2WPbWPX23On5V9i.jpg,Drama
42589,"Hi, Mom!","Brian De Palma (director/screenplay); Robert De Niro, Charles Durning, Jennifer Salt, Gerrit Graham, Lara Parker, Allen Garfield, Paul Bartel, Bruce D. Price, Ricky Parker, Andy Parker, Floyd L. Peterson, Paul Hirsch",1970,/enZNB8xoxggNxwA3a8fm5Hqg8gs.jpg,"Comedy, Crime"
84496,Zig Zag,"Richard A. Colla (director); John T. Kelley (screenplay); George Kennedy, Anne Jackson, Eli Wallach, Steve Ihnat, William Marshall, Joe Maross, Dana Elcar, Walter Brooke, Anita O'Day, Robert Patten",1970,/4TvNIjunjz986qDihAlDu33GISV.jpg,"Crime, Drama, Thriller"
14676,A Man Called Horse,"Elliot Silverstein (director); Jack DeWitt (screenplay); Richard Harris, Dame Judith Anderson, Jean Gascon, Manu Tupou, Corinna Tsopei, Dub Taylor, James Gammon, William Jordan, Eddie Little Sky, Lina Marín, Manuel Padilla Jr., Iron Eyes Cody, Tamara Garina, Sonny Skyhawk",1970,/gvo0LMk5EWwsypsXl2i25D83ztm.jpg,"Western, Action, Adventure, Drama"
47646,The Grasshopper,"Jerry Paris (director); Jerry Belson, Garry Marshall (screenplay); Jacqueline Bisset, Jim Brown, Joseph Cotten, Corbett Monica, Christopher Stone, Ramon Bieri, Ed Flanders, William Callaway, Roger Garrett, William Bassett, Marc Hannibal, Penny Marshall",1970,/zI10Iebo9VODQ9iWOG8uG7UQUj6.jpg,"Romance, Drama"
28681,Equinox,"Jack Woods (director/screenplay); Edward Connell, Barbara Hewitt, Frank Boers Jr., Robin Christopher, Jack Woods, Fritz Leiber, Jim Phillips, Patrick Burke, Jim Duron, Norvelle Brooks, Irving L. Lichtenstein, Jim Danforth, Forrest J. Ackerman, Sharon Gray, Louis Clayton",1970,/4TbevVaTQ8Vyyez8eEXnoEyDvvq.jpg,"Adventure, Horror"
29748,Taste the Blood of Dracula,"Peter Sasdy (director); John Elder (screenplay); Christopher Lee, Linda Hayden, Geoffrey Keen, Gwen Watford, Anthony Corlan, Ralph Bates, Peter Sallis, John Carson, Isla Blair, Martin Jarvis, Roy Kinnear, Michael Ripper, Russell Hunter, Shirley Jaffe, Keith Marsh, Madeline Smith, Peter May, Reginald Barratt",1970,/hhK8KDZgtuvMYhC55keOrEsTwt1.jpg,Horror
77333,Leo the Last,"John Boorman (director/screenplay); Bill Stair, George Tabori (screenplay); Marcello Mastroianni, Billie Whitelaw, Keefe West, Calvin Lockhart, Glenna Forster-Jones, Graham Crowden, Gwen Ffrangcon Davies, Vladek Sheybal, Kenneth Warren, David de Keyser, Brinsley Forde",1970,/pn96pJEpdVjjuw2FgPQWkJDjz91.jpg,"Drama, Comedy"
78355,"Tell Me That You Love Me, Junie Moon","Otto Preminger (director); Marjorie Kellogg (screenplay); Liza Minnelli, Ken Howard, Robert Moore, James Coco, Kay Thompson, Fred Williamson, Pete Seeger, Ben Piazza, Leonard Frey, Anne Revere, Julie Bovasso, Clarice Taylor, Angelique Pettyjohn, Wayne Tippit, Nancy Marchand, Ric O'Feldman, Lynn Milgrim, Pacific Gas & Electric",1970,/m8gntXfzQGZtjnAc7cixC2khiw7.jpg,"Comedy, Drama, Romance"
42588,Getting Straight,"Richard Rush (director); Robert Kaufman (screenplay); Elliott Gould, Candice Bergen, Jeff Corey, Max Julien, Cecil Kellaway, Jon Lormer, Leonard Stone, William Bramley, Jeannie Berlin, John Rubinstein, Richard Anders, Brenda Sykes, Jenny Sullivan, Gregory Sierra, Billie Bird, Harrison Ford, Robert F. Lyons, Elizabeth Lane, Hilary Thompson, Irene Tedrow",1970,/qwyyq5lMFWTO1xS2qWI48Be5tdU.jpg,"Comedy, Drama, Romance"
20556,Let It Be,Michael Lindsay-Hogg (director); The Beatles,1970,/culQSuxwKjek6C7qORuOwXe6qqX.jpg,"Documentary, Music"
