movieId,genre_ids,original_title,title,cast_and_crew,year,poster_path
10237,"[80, 18, 10749, 53]",The Honeymoon Killers,The Honeymoon Killers,"Leonard Kastle (director/screenplay); Shirley Stoler, Tony Lo Bianco, Marilyn Chris, Doris Roberts, Barbara Cason, Mary Jane Higby, Elsa Raven, Dortha Duckworth, Kip McArdle, Mary Breen, Ann Harris, Mary Engel, Guy Sorel",1970,/3n69M2qBFMWEYAOOQdvxYAaaDLM.jpg
19753,"[35, 36]",Start the Revolution Without Me,Start the Revolution Without Me,"Bud Yorkin (director); Lawrence J. Cohen, Fred Freeman (screenplay); Gene Wilder, Donald Sutherland, Hugh Griffith, Jack MacGowran, Billie Whitelaw, Victor Spinetti, Ewa Aulin, Helen Fraser, Rosalind Knight, Harry Fowler, Murray Melvin, Ken Parry, Maxwell Shaw, Jacques Maury, Graham Stark, Barry Lowe, George A. Cooper, Michael Rothwell, Denise Coffey, Orson Welles, Walker Edmiston",1970,/z4gspFa639yUWLSyefP5yCxKgRi.jpg
11202,"[10752, 18, 36]",Patton,Patton,"Franklin J. Schaffner (director); Francis Ford Coppola, Edmund H. North (screenplay); George C. Scott, Karl Malden, David Bauer, Edward Binns, John Doucette, Michael Strong, Peter Barkworth, Lawrence Dobkin, Paul Stevens, Morgan Paull, Stephen Young",1970,/rLM7jIEPTjj4CF7F1IrzzNjLUCu.jpg
2998,[18],Zabriskie Point,Zabriskie Point,"Michelangelo Antonioni (director/screenplay); Fred Gardner, Sam Shepard, Tonino Guerra, Clare Peploe (screenplay); Mark Frechette, Daria Halprin, Rod Taylor, Paul Fix, G.D. Spradlin, Bill Garaway, Kathleen Cleaver, The Open Theatre, Austin Willis, Harrison Ford",1970,/qjPeWUyBcAgM2OZSgk0icNExtWT.jpg
151679,"[18, 35]",End of the Road,End of the Road,"Aram Avakian (director/screenplay); Terry Southern, Dennis McGuire (screenplay); James Earl Jones, Stacy Keach, Dorothy Tristan, Harris Yulin, Grayson Hall, Ray Brock, John Pleshette, James Coco",1970,/yzkADWoinGXrtSzBH5uuQGTqMQt.jpg
4255,"[35, 18]",The Party at Kitty and Stud's,The Party at Kitty and Stud's,"Morton Lewis (director/screenplay); Sylvester Stallone, Henrietta Holm, Jodi Van Prang, Nicholas Warren, Frank Micelli, Barbara Storm, Janet Banzet",1970,/xz4TgIVfWNlCuCdxkYOfSYXhLgx.jpg
98348,"[10751, 12]",King of the Grizzlies,King of the Grizzlies,"Ron Kelly (director); Jack Speirs, Rod Peterson, Norman Wright (screenplay); John Yesno, Chris Wiggins, Hugh Webster, Jack Van Evera, Big Ted, Winston Hibler",1970,/himI10dGezpxvj3wj5urgywi4xW.jpg
5227,"[35, 12, 14]",Hercules in New York,Hercules in New York,"Arthur Allan Seidelman (director); Aubrey Wisberg (screenplay); Arnold Stang, Arnold Schwarzenegger, Deborah Loomis, James Karen, Ernest Graves, Tanny McDonald, Taina Elg, Michael Lipton, Harold Burstein, George Bartenieff, Rudy Bond, Dan Hamilton, Mark Tendler, Dennis Tinerino, Richard Herd, Tony Carroll, Aubrey Wisberg",1970,/2Rad0CXcWSyjp6vidmz08QriYNZ.jpg
92269,"[18, 10749]",Loving,Loving,"Irvin Kershner (director); Don Devlin (screenplay); George Segal, Eva Marie Saint, Sterling Hayden, Keenan Wynn, David Doyle, Paul Sparer, Sherry Lansing, Roland Winters, Edgar Stehli, Diana Douglas, David Ford, John Fink, Ed Crowley, Roy Scheider, Sab Shimono, Betsy von Furstenberg, Nancie Phillips, Janis Young, Andrew Duncan, Calvin Holt, Mina Kolb, James Manis, Mart Hulswit, William Duffy, Irving Selbst, Martin Harvey Friedberg, Lorraine Cullen, Cheryl Bucher, Eileen O'Neill, Diane Davies",1970,/xwMISwAert29Hr8ntky9B80fCez.jpg
10671,"[28, 18, 53]",Airport,Airport,"George Seaton (director/screenplay); Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset, George Kennedy, Helen Hayes, Van Heflin, Maureen Stapleton, Barry Nelson, Lloyd Nolan, Dana Wynter, Barbara Hale, Gary Collins, Jessie Royce Landis, Larry Gates, Peter Turgeon, Whit Bissell, Virginia Grey, Paul Picerni, Robert Patten, Clark Howat, Lew Brown, Lisa Gerritsen, James Nolan, Dick Winslow, Lou Wagner, Mary Jackson",1970,/6iOKluJfyiU1SLZbGYrY7Z0i6k0.jpg
273554,"[12, 878]",Skullduggery,Skullduggery,"Gordon Douglas (director); Nelson Gidding (screenplay); Burt Reynolds, Susan Clark, Roger C. Carmel, Paul Hubschmid, Chips Rafferty, Alexander Knox, Pat Suzuki, Edward Fox, Wilfrid Hyde-White, William Marshall, Rhys Williams, Michael St. Clair, Booker Bradshaw, James Bacon, Clarence Harris, Newt Arnold, Mike Preece, Saul David, Eddie Fuchs, Mort Marshall, John Kimberley, Gilbert Senior, Burnal ""Custus"" Smith, John Woodcock, Wendell Baggett, Charles Washburn",1970,/7kTFu2xUDT8sQAyA00KTcQ20DpW.jpg
34377,[18],The Boys in the Band,The Boys in the Band,"William Friedkin (director); Mart Crowley (screenplay); Kenneth Nelson, Leonard Frey, Cliff Gorman, Laurence Luckinbill, Frederick Combs, Keith Prentice, Robert La Tourneaux, Reuben Greene, Peter White, Maud Adams, Elaine Kaufman",1970,/zgPdZZkM2EVOFlw3e7qEmZv6Po8.jpg
23330,"[35, 37, 28]",The Ballad of Cable Hogue,The Ballad of Cable Hogue,"Sam Peckinpah (director); John Crawford, Edmund Penney (screenplay); Jason Robards, Stella Stevens, David Warner, Strother Martin, Slim Pickens, L.Q. Jones, Peter Whitney, R.G. Armstrong, Gene Evans, William Mims, Kathleen Freeman, Vaughn Taylor, Max Evans, James Anderson, Susan O'Connell, Felix Nelson, Darwin Lamb, Mary Munday, William D. Faralla, Matthew Peckinpah, Easy Pickens",1970,/bEth8XAYaytjzxnHkLkj4nZx2XD.jpg
95556,"[18, 80]",The Liberation of L.B. Jones,The Liberation of L.B. Jones,"William Wyler (director); Jesse Hill Ford, Stirling Silliphant (screenplay); Roscoe Lee Browne, Lee J. Cobb, Lee Majors, Anthony Zerbe, Lola Falana, Arch Johnson, Barbara Hershey, Yaphet Kotto, Chill Wills, Zara Cully, Fayard Nicholas, Joe Attles, Lauren Jones, Dub Taylor, Brenda Sykes, Larry D. Mann, Ray Teal, Eve McVeagh, Jack Grinnage",1970,/nX4cm1sPtXMNC0LdofKADvCYwax.jpg
31581,"[80, 18]",Bloody Mama,Bloody Mama,"Roger Corman (director); Robert Thom (screenplay); Shelley Winters, Pat Hingle, Don Stroud, Diane Varsi, Bruce Dern, Clint Kimbrough, Robert De Niro, Robert Walden, Alex Nicol, Pamela Dunlap, Michael Fox, Scatman Crothers, Stacy Harris",1970,/wVCFfu810n6Tf3Ut7JR4QvnOj6j.jpg
149320,[99],King: A Filmed Record... Montgomery to Memphis,King: A Filmed Record... Montgomery to Memphis,"Sidney Lumet, Joseph L. Mankiewicz (directors); Harry Belafonte, Ruby Dee, Ben Gazzara, Charlton Heston, James Earl Jones, Burt Lancaster, Paul Newman, Anthony Quinn, Clarence Williams III, Joanne Woodward, Ralph Abernathy, James Baldwin, Tony Bennett, Leonard Bernstein, Marlon Brando, H. Rap Brown, Stokely Carmichael, Diahann Carroll, Wilt Chamberlain",1970,/yenKpaleqf2QBrMxpeYwVO8AJO1.jpg
106326,"[18, 28, 12]",The Adventurers,The Adventurers,"Lewis Gilbert (director/screenplay); Michael Hastings (screenplay); Charles Aznavour, Alan Badel, Candice Bergen, Thommy Berggren, Delia Boccardo, Ernest Borgnine, Rossano Brazzi, Olivia de Havilland, Bekim Fehmiu, Anna Moffo",1970,/wDPD4bXra8cpgweYMMJ6XcGB6Vb.jpg
9459,"[99, 36, 10402]",Woodstock,Woodstock,"Michael Wadleigh (director); Janis Joplin, Canned Heat, Joan Baez, Joe Cocker, Country Joe & The Fish, Crosby, Stills & Nash, Arlo Guthrie, Richie Havens, Jimi Hendrix, Santana, John Sebastian, Sha-Na-Na, Sly & The Family Stone, Ten Years After, The Who, Jefferson Airplane",1970,/d6CQiqUiELQiO2w854oRq6qMasy.jpg
33157,"[36, 18, 10752]",Waterloo,Waterloo,"Sergei Bondarchuk (director/screenplay); H.A.L. Craig, Vittorio Bonicelli, Mario Soldati (screenplay); Rod Steiger, Christopher Plummer, Orson Welles, Jack Hawkins, Virginia McKenna, Dan O'Herlihy, Serghej Zakhariadze, Ian Ogilvy, Philippe Forquet, Gianni Garko, Ivo Garrani",1970,/tNTLZBn5szEvBRTtkWtAyuFqkDa.jpg
14801,"[878, 53]",Colossus: The Forbin Project,Colossus: The Forbin Project,"Joseph Sargent (director); James Bridges (screenplay); Eric Braeden, Susan Clark, Gordon Pinsent, William Schallert, Marion Ross, Georg Stanford Brown, Willard Sage, Martin E. Brooks, Dolph Sweet, Byron Morrow, Paul Frees, James Hong, Leonid Rostoff, Alex Rodine, Sid McCoy",1970,/kmVDlTzERxSvBrqtQurjKf1zEy1.jpg
115309,"[28, 35, 37, 10749]",The Cockeyed Cowboys of Calico County,The Cockeyed Cowboys of Calico County,"Anton Leader (director); Ranald MacDougall (director/screenplay); Dan Blocker, Nanette Fabray, Jack Elam, Jim Backus, Wally Cox, Mickey Rooney, Don ""Red"" Barry, Hamilton Camp, Noah Beery Jr., Henry Jones, Marge Champion, Jack Cassidy, Stubby Kaye, Byron Foulger, Iron Eyes Cody, Susan Saint James, James McCallion, Ray Ballard, Raven Grey",1970,/7z7Rl7LkPdsLdNhtucWYuXKkKit.jpg
90722,[18],Halls of Anger,Halls of Anger,"Paul Bogart (director); John Herman Shaner, Al Ramrus (screenplay); Calvin Lockhart, Janet MacLachlan, Jeff Bridges, DeWayne Jessie, Ed Asner, John McLiam, Rob Reiner, Patricia Stich, Ta-Tanisha, Helen Kleeb, Barry Brown, James A. Watson Jr., Gary Tigerman, Paris Earle",1970,/feU0ARKiqcUZLWuitg8Wa5RRxRd.jpg
144279,[18],Brotherly Love,Country Dance,"J. Lee Thompson (director); James Kennaway (screenplay); Peter O'Toole, Susannah York, Michael Craig, Harry Andrews, Cyril Cusack, Judy Cornwell, Brian Blessed, Robert Urquhart, Jean Anderson, Helena Gloag, Mark Malicz, Lennox Milne",1970,/6orfrhjC6rVA2WPbWPX23On5V9i.jpg
42589,"[35, 80]","Hi, Mom!","Hi, Mom!","Brian De Palma (director/screenplay); Robert De Niro, Charles Durning, Jennifer Salt, Gerrit Graham, Lara Parker, Allen Garfield, Paul Bartel, Bruce D. Price, Ricky Parker, Andy Parker, Floyd L. Peterson, Paul Hirsch",1970,/enZNB8xoxggNxwA3a8fm5Hqg8gs.jpg
84496,"[80, 18, 53]",Zig Zag,Zig Zag,"Richard A. Colla (director); John T. Kelley (screenplay); George Kennedy, Anne Jackson, Eli Wallach, Steve Ihnat, William Marshall, Joe Maross, Dana Elcar, Walter Brooke, Anita O'Day, Robert Patten",1970,/4TvNIjunjz986qDihAlDu33GISV.jpg
14676,"[37, 28, 12, 18]",A Man Called Horse,A Man Called Horse,"Elliot Silverstein (director); Jack DeWitt (screenplay); Richard Harris, Dame Judith Anderson, Jean Gascon, Manu Tupou, Corinna Tsopei, Dub Taylor, James Gammon, William Jordan, Eddie Little Sky, Lina Marín, Manuel Padilla Jr., Iron Eyes Cody, Tamara Garina, Sonny Skyhawk",1970,/gvo0LMk5EWwsypsXl2i25D83ztm.jpg
47646,"[10749, 18]",The Grasshopper,The Grasshopper,"Jerry Paris (director); Jerry Belson, Garry Marshall (screenplay); Jacqueline Bisset, Jim Brown, Joseph Cotten, Corbett Monica, Christopher Stone, Ramon Bieri, Ed Flanders, William Callaway, Roger Garrett, William Bassett, Marc Hannibal, Penny Marshall",1970,/zI10Iebo9VODQ9iWOG8uG7UQUj6.jpg
28681,"[12, 27]",Equinox,Equinox,"Jack Woods (director/screenplay); Edward Connell, Barbara Hewitt, Frank Boers Jr., Robin Christopher, Jack Woods, Fritz Leiber, Jim Phillips, Patrick Burke, Jim Duron, Norvelle Brooks, Irving L. Lichtenstein, Jim Danforth, Forrest J. Ackerman, Sharon Gray, Louis Clayton",1970,/4TbevVaTQ8Vyyez8eEXnoEyDvvq.jpg
29748,[27],Taste the Blood of Dracula,Taste the Blood of Dracula,"Peter Sasdy (director); John Elder (screenplay); Christopher Lee, Linda Hayden, Geoffrey Keen, Gwen Watford, Anthony Corlan, Ralph Bates, Peter Sallis, John Carson, Isla Blair, Martin Jarvis, Roy Kinnear, Michael Ripper, Russell Hunter, Shirley Jaffe, Keith Marsh, Madeline Smith, Peter May, Reginald Barratt",1970,/hhK8KDZgtuvMYhC55keOrEsTwt1.jpg
77333,"[18, 35]",Leo the Last,Leo the Last,"John Boorman (director/screenplay); Bill Stair, George Tabori (screenplay); Marcello Mastroianni, Billie Whitelaw, Keefe West, Calvin Lockhart, Glenna Forster-Jones, Graham Crowden, Gwen Ffrangcon Davies, Vladek Sheybal, Kenneth Warren, David de Keyser, Brinsley Forde",1970,/pn96pJEpdVjjuw2FgPQWkJDjz91.jpg
78355,"[35, 18, 10749]","Tell Me That You Love Me, Junie Moon","Tell Me That You Love Me, Junie Moon","Otto Preminger (director); Marjorie Kellogg (screenplay); Liza Minnelli, Ken Howard, Robert Moore, James Coco, Kay Thompson, Fred Williamson, Pete Seeger, Ben Piazza, Leonard Frey, Anne Revere, Julie Bovasso, Clarice Taylor, Angelique Pettyjohn, Wayne Tippit, Nancy Marchand, Ric O'Feldman, Lynn Milgrim, Pacific Gas & Electric",1970,/m8gntXfzQGZtjnAc7cixC2khiw7.jpg
42588,"[35, 18, 10749]",Getting Straight,Getting Straight,"Richard Rush (director); Robert Kaufman (screenplay); Elliott Gould, Candice Bergen, Jeff Corey, Max Julien, Cecil Kellaway, Jon Lormer, Leonard Stone, William Bramley, Jeannie Berlin, John Rubinstein, Richard Anders, Brenda Sykes, Jenny Sullivan, Gregory Sierra, Billie Bird, Harrison Ford, Robert F. Lyons, Elizabeth Lane, Hilary Thompson, Irene Tedrow",1970,/qwyyq5lMFWTO1xS2qWI48Be5tdU.jpg
20556,"[99, 10402]",Let It Be,Let It Be,Michael Lindsay-Hogg (director); The Beatles,1970,/culQSuxwKjek6C7qORuOwXe6qqX.jpg
4373,[18],"My Lover, My Son","My Lover, My Son","John Newland (director); Jenni Hall, William Marchant, Wilbur Stark (screenplay); Romy Schneider, Dennis Waterman, Donald Houston, Patricia Brake, Peter Sallis, William Dexter, Alexandra Bastedo, Janet Brown, Peter Gilmore",1970,/qQTASCy90UIaJztaNgvbyouttFB.jpg
55514,"[12, 18, 9648]",The Delta Factor,The Delta Factor,"Tay Garnett (director/screenplay); Raoul Walsh (screenplay); Yvette Mimieux, Christopher George, Diane McBain, Ralph Taeger, Yvonne De Carlo",1970,/bLl74o406FRgj0JNEsc9l0AFGdy.jpg
64828,"[35, 18]",The Landlord,The Landlord,"Hal Ashby (director); Bill Gunn (screenplay); Beau Bridges, Lee Grant, Diana Sands, Pearl Bailey, Walter Brooke, Lou Gossett, Marki Bey, Melvin Stewart, Susan Anspach, Robert Klein, Will Mackenzie, Charlie Murphy",1970,/kKh9A0VPmjzowwtXSu4DycW7Vuq.jpg
33733,"[35, 53]",One More Time,One More Time,"Jerry Lewis (director); Michael Pertwee (screenplay); Sammy Davis Jr., Peter Lawford, Maggie Wright, Ester Anderson, John Wood, Dudley Sutton, Percy Herbert, Anthony Nicholls, Allan Cuthbertson, Edward Evans, Leslie Sands, Glyn Owen, Peter Cushing, Christopher Lee, Jerry Lewis",1970,/7iKmyQYfd4xgGSHUMhHsjTbry1h.jpg
144910,"[18, 35]",Suppose They Gave a War and Nobody Came?,Suppose They Gave a War and Nobody Came,"Hy Averback (director); Hal Captain, Don McGuire (screenplay); Brian Keith, Ernest Borgnine, Suzanne Pleshette, Tony Curtis, Ivan Dixon, Tom Ewell, Bradford Dillman, Arthur O'Connell, Maxine Stuart, Pamela Britton, Don Ameche, Robert Emhardt, Christopher Mitchum, Grady Sutton",1970,/enKEVCsH5PR6CdTKcE0YIUy26NJ.jpg
31935,"[18, 28, 10752]",Too Late the Hero,Too Late the Hero,"Robert Aldrich (director/screenplay); Lukas Heller (screenplay); Michael Caine, Cliff Robertson, Ian Bannen, Harry Andrews, Ronald Fraser, Denholm Elliott, Lance Percival, Percy Herbert, Patrick Jordan, Sam Kydd, William Beckley, Harvey Jason, Don Knight, Roger Newman, Henry Fonda, Ken Takakura, Martin Horsey, Michael J. Parson, Sean MacDuff, Frank Webb",1970,/sPSwjNA1OVkotd10pH8G9xNCFTN.jpg
86373,"[35, 10752]",Norwood,Norwood,"Jack Haley Jr. (director); Marguerite Roberts (screenplay); Glen Campbell, Kim Darby, Joe Namath, Carol Lynley, Pat Hingle, Tisha Sterling, Dom DeLuise, Jack Haley, Cass Daley, Leigh French, Meredith MacRae, Sammy Jackson, Billy Curtis, Edith Atwater, Jimmy Boyd, Virginia Capers, Merie Earle, David Huddleston, Gil Lamb",1970,/om0W08ah4qdbIqyCMJ2rxle5dEx.jpg
1685,"[12, 878, 9648]",Beneath the Planet of the Apes,Beneath the Planet of the Apes,"Ted Post (director); Paul Dehn (screenplay); James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison, Paul Richards, Victor Buono, James Gregory, Jeff Corey, Natalie Trundy, Thomas Gomez, Don Pedro Colley, David Watson, Tod Andrews, Gregory Sierra, Charlton Heston, Paul Frees, Lou Wagner, Army Archerd",1970,/szHCeYwi4ubewuYnlnz0YGqWnQC.jpg
59917,"[28, 35, 80]",Cotton Comes to Harlem,Cotton Comes to Harlem,"Ossie Davis (director/screenplay); Arnold Perl (screenplay); Godfrey Cambridge, Raymond St. Jacques, Calvin Lockhart, Judy Pace, Redd Foxx, Emily Yancy, John Anderson, Lou Jacobi, Eugene Roche, J.D. Cannon, Helen Martin, Cleavon Little, Theodore Wilson, Leonardo Cimino, Frederick O'Neal, Don Bexley, Mabel Robinson, Dick Sabol",1970,/tW30OfbGhe2uFBw4cr6tKsZwCcl.jpg
290052,[18],The Magic Garden of Stanley Sweetheart,The Magic Garden of Stanley Sweetheart,"Leonard Horn (director); Robert T. Westbrook (screenplay); Don Johnson, Dianne Hull, Michael Greer, Holly Near, Karen Lynn Gorney, Brandon Maggart, Linda Gillin, Victoria Racimo",1970,/175luE0FsbRGUonURpGCF080wNJ.jpg
63859,"[35, 10751, 14, 10402]",Pufnstuf,Pufnstuf,"Hollingsworth Morse (director); John Fenton Murray, Si Rose (screenplay); Jack Wild, Billie Hayes, Martha Raye, Cass Elliot, Billy Barty, Jane Dulo, Jan Davis, Sharon Baird, Angelo Rossitto, Felix Silla, Johnny Silver, Van Snowden, Lou Wagner, Walker Edmiston, Joan Gerber, Al Melvin, Don Messick, Allison McKay, Princess Livingston, Joy Campbell, Roberto Gamonet, Andy Ratoucheff, Hommy Stewart, Pat Lytell, Buddy Douglas, Jon Linton, Bob Howland, Scutter McKay",1970,/fpGCwwmtdkfj0dLQcIBsc4HJnb.jpg
20444,[35],The Out-of-Towners,The Out-of-Towners,"Arthur Hiller (director); Neil Simon (screenplay); Jack Lemmon, Sandy Dennis, Sandy Baron, Anne Meara, Robert Nichols, Ann Prentiss, Ron Carey, Philip Bruns, Graham Jarvis, Carlos Montalbán, Pepe Hern, Johnny Brown, Dolph Sweet, Jack Crowder, Jon Korkes, Robert Walden, Richard Libertini, Paul Dooley, Anthony Holland, Billy Dee Williams, A.P. Westcott, Robert King, Bob Bennett",1970,/1yun6b1oVbHvyfnkhs5Ib7uQjSL.jpg
42600,"[35, 18]",Watermelon Man,Watermelon Man,"Melvin Van Peebles (director); Herman Raucher (screenplay); Godfrey Cambridge, Estelle Parsons, Howard Caine, D'Urville Martin, Mantan Moreland, Kay E. Kuter, Erin Moran, Emil Sitka, Karl Lukas, Paul H. Williams, Melvin Van Peebles, Kay Kimberley, Scott Garrett, Irving Selbst",1970,/7jKQ7goaKwlpDz40ZrgoXWHg26n.jpg
11916,[37],Two Mules for Sister Sara,Two Mules for Sister Sara,"Don Siegel (director); Albert Maltz (screenplay); Clint Eastwood, Shirley MacLaine, Manolo Fábregas, Armando Silvestre, Enrique Lucero, David Estuardo, Ada Carrasco, Pancho Córdova, José Ángel Espinosa, Rosa Furman, Alberto Morin, John Kelly, José Chávez",1970,/RbuNHMlrw7M2w1R3hZMAPwh6dG.jpg
224600,[53],The Executioner,The Executioner,"Sam Wanamaker (director); Jack Pulman (screenplay); George Peppard, Joan Collins, Judy Geeson, Oskar Homolka, Charles Gray, Nigel Patrick, Keith Michell, George Baker, Alexander Scourby, Peter Bull, Ernest Clark, Peter Dyneley, Gizela Dali, Lewis Alexander, Peter Evans, Stefan Gryff, Steve Plytas",1970,/2FJAx7EPbF34SvnZWpbqDfziiul.jpg
42592,"[10752, 18, 36]",Julius Caesar,Julius Caesar,"Stuart Burge (director); Robert Furnival (screenplay); Charlton Heston, Jason Robards, John Gielgud, Richard Johnson, Robert Vaughn, Richard Chamberlain, Diana Rigg, Christopher Lee, Jill Bennett, André Morell, Derek Godfrey, Michael Gough, David Neal, Preston Lockwood",1970,/vM8TTna0YBCfXsOjS3GkfKOzwu8.jpg
248554,[],The Invincible Six,The Invincible Six,"Jean Negulesco (director); Guy Elmes, Chester Erskine (screenplay); Stuart Whitman, Elke Sommer, Curd Jürgens, James Mitchum, Ian Ogilvy, Behrouz Vossoughi, Lon Satton, Isarco Ravaioli, Pouri Banayi",1970,/4aTv8xeKTVEqAss68i5JoEbl5En.jpg
28303,"[28, 35, 37]",The Cheyenne Social Club,The Cheyenne Social Club,"Gene Kelly (director); James Lee Barrett (screenplay); James Stewart, Henry Fonda, Shirley Jones, Sue Ane Langdon, Elaine Devry, Jason Wingreen, Jackie Joseph, Robert Middleton, Robert J. Wilke, Dabbs Greer, Charles Tyner, Arch Johnson, Jean Willes, Carl Reindel, J. Pat O'Malley, Hal Baylor, Charlotte Stewart, Myron Healey, Red Morgan, Richard Alexander, Frank Baker, Noble ""Kid"" Chissell, John Dehner, Max Wagner, Dan White, Richard Collier, Jackie Russell, Sharon DeBord, Warren Kemmerling, Dick Johnstone",1970,/5bRm0ALG9yPO53Y2kKuPPV3irdF.jpg
51956,"[18, 10749]",The Strawberry Statement,The Strawberry Statement,"Stuart Hagmann (director); Israel Horovitz (screenplay); Bruce Davison, Kim Darby, Bud Cort, Andrew Parks, Kristina Holland, Bob Balaban, Greta Pope, Danny Goldman, Booker Bradshaw, James Coco, James Simon Kunen, Kristin Van Buren, Murray MacLeod",1970,/kKhzIkHWrg51jkTRxq6eAhBSIIl.jpg
5722,"[35, 18, 10402]",Beyond the Valley of the Dolls,Beyond the Valley of the Dolls,"Russ Meyer (director); Roger Ebert (screenplay); Dolly Read, Cynthia Myers, Marcia McBroom, Phyllis Davis, Erica Gavin, John LaZar, Michael Blodgett, David Gurian, Edy Williams, Harrison Page, Duncan McLeod, James Iglehart, Charles Napier, Henry Rowland, Marshall Kent, The Strawberry Alarm Clock, Pam Grier, Trina Parks, Coleman Francis, Russ Meyer, Dan White",1970,/kmGOF3T35Q6zM1PMmp4Gf0VNX65.jpg
